Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\sano_axel\art1.wav,0.0106973123391022,15101.07421875,11.4554472702483,31735.7653601695,15878.6014671206,0.00411570233277067,15047.607421875,11.4533357287752,31724.8411016949,15905.9451430984
C:\Users\Andrea\Desktop\TESIS\sano_axel\art10.wav,0.00805490728165639,15071.044921875,11.4537338669802,31748.874470339,15908.6874447228,0.00349334096629803,15145.01953125,11.4631186621738,31852.1583686441,15926.5829272356
C:\Users\Andrea\Desktop\TESIS\sano_axel\art11.wav,0.00800956621798228,15271.728515625,11.3935527433497,31751.2579449153,15928.9649547362,0.00397418098373258,15147.216796875,11.4354128421031,31835.0768008475,15922.4305895435
C:\Users\Andrea\Desktop\TESIS\sano_axel\art12.wav,0.008769840582112,15103.271484375,11.4579388328424,31824.1525423729,15905.7896366739,0.0032592965351033,15941.89453125,11.4684760460038,31799.7219279661,15895.8262576882
C:\Users\Andrea\Desktop\TESIS\sano_axel\art13.wav,0.0118444818276268,15604.98046875,11.4570815115665,31690.4793432203,15919.8910803894,0.00345737117019347,16293.45703125,11.4373822965569,31836.8644067797,15934.4489764817
C:\Users\Andrea\Desktop\TESIS\sano_axel\art14.wav,0.0131365939563084,15263.671875,11.4360731919588,31706.1705508475,15898.0954507775,0.00527111101618687,15859.130859375,11.3728842664661,31883.3421610169,15879.373042704
C:\Users\Andrea\Desktop\TESIS\sano_axel\art15.wav,0.00927063543244397,15202.1484375,11.4058321080447,31707.9581567797,15846.4944327841,0.0045336763998649,16592.28515625,11.4868325661076,31877.3834745763,15961.6910377912
C:\Users\Andrea\Desktop\TESIS\sano_axel\art16.wav,0.0116101026324367,16457.51953125,11.4247707049775,31726.4300847458,15916.1028033991,0.00393732756609006,15618.1640625,11.4431471816146,31858.1170550847,15974.9963980077
C:\Users\Andrea\Desktop\TESIS\sano_axel\art17.wav,0.00779201625217958,15030.029296875,11.4197537445069,31705.1774364407,15870.1186962206,0.00272664586657503,15179.443359375,11.4777177421965,31741.1281779661,15915.6733436437
C:\Users\Andrea\Desktop\TESIS\sano_axel\art18.wav,0.00900836863839347,15512.6953125,11.4308204940092,31734.375,15900.7919791131,0.00290338528646187,15499.51171875,11.4615729074272,31837.4602754237,15923.0958471833
C:\Users\Andrea\Desktop\TESIS\sano_axel\art19.wav,0.0106652012390605,15069.580078125,11.4315761412681,31740.9295550847,15885.0818329479,0.00299245335346839,15104.00390625,11.4616886226941,31865.6647245763,15962.9859523856
C:\Users\Andrea\Desktop\TESIS\sano_axel\art2.wav,0.0109535286445551,15104.736328125,11.4436371785573,31660.4872881356,15916.1299399895,0.00820898293048787,15035.888671875,11.2062561994799,31761.9835805085,15611.3556618448
C:\Users\Andrea\Desktop\TESIS\sano_axel\art20.wav,0.00944542207177008,15037.353515625,11.4656495586165,31717.8893008475,15920.7288661346,0.00351865023435321,15046.875,11.4841586520131,31776.8802966102,15935.1049058218
C:\Users\Andrea\Desktop\TESIS\sano_axel\art21.wav,0.00763050361132658,15280.517578125,11.429034052863,31711.5333686441,15860.506278915,0.00321273797307683,15110.595703125,11.4506140550727,31704.3829449153,15875.4186706766
C:\Users\Andrea\Desktop\TESIS\sano_axel\art22.wav,0.0107387105935449,16415.771484375,11.428673790045,31695.8421610169,15890.2681295846,0.00302804484015483,15536.865234375,11.4557774234867,31773.5037076271,15918.8480414945
C:\Users\Andrea\Desktop\TESIS\sano_axel\art23.wav,0.011996787759575,15227.05078125,11.4345289982638,31724.2452330508,15886.6908088393,0.00320221861232046,15614.501953125,11.4482663439452,31857.5211864407,15952.7758333844
