Filename,rms_amp_L,peak_freq_L,spectral_entropy_L,zcr_L,mean_freq_L,rms_amp_R,peak_freq_R,spectral_entropy_R,zcr_R,mean_freq_R
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art10.wav,0.00602095280989392,15848.14453125,10.3715435523792,32028.1559405941,16037.5235709247,0.00698332249688543,16042.96875,10.3535461238363,32027.2277227723,16012.8090381506
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art11.wav,0.00615172245791805,15798.33984375,10.2496368295438,32018.6829066887,16021.1252298929,0.00574671851063175,16293.45703125,10.3531964975279,32003.8191577209,16020.2738800284
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art12.wav,0.0125513639697769,16231.201171875,10.2122918226862,32031.7118226601,16040.7388786167,0.0107145084689491,16287.59765625,10.1173429701385,32047.7216748768,16021.3073694473
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art13.wav,0.0123913469082197,16062.01171875,10.3545569945461,32076.0914332784,16044.7505554535,0.00637825234650128,16168.212890625,10.3647030347247,32043.6573311367,16052.30944814
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art14.wav,0.00850872213010911,15810.05859375,10.3365612295489,32061.729663106,16004.7964099521,0.00829175921018542,15867.1875,10.3535183232003,32056.7995069844,16031.3884036658
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art15.wav,0.00498158061261766,15880.37109375,10.3361865622752,32017.1669407895,16001.6011573297,0.00746249573729291,15925.78125,10.2651663770089,32047.0805921053,16042.1688648972
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art16.wav,0.00379189868264396,15818.84765625,10.3287494941429,32025.3712871287,15995.6524383281,0.0115943744429397,15779.296875,10.3264578898718,32021.6584158416,15999.1516624523
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art17.wav,0.00953219594045966,16250.244140625,10.2536650290525,32042.2171758877,16069.1551620124,0.00587361910674895,15791.015625,10.3627896611884,32005.0578034682,16037.4026433524
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art18.wav,0.00662285239983538,16207.03125,10.2718485292618,32038.2716049383,16034.4795519559,0.00441148412361358,16352.05078125,10.3686062955429,32051.8518518519,16031.1278416747
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art19.wav,0.00956555985868254,16245.1171875,10.3342464142484,32030.1724137931,16031.8339823602,0.00716249298167219,15752.197265625,10.2930129954376,32030.1724137931,16018.672659565
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art2.wav,0.00321503319794726,15925.048828125,10.319608969751,32052.1604938272,16024.2902043849,0.00232104632650938,16094.970703125,10.3873018944375,32068.2098765432,16006.1184246988
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art20.wav,0.00545640359405229,15681.15234375,10.2506257285247,32025.8018092105,15966.6919360297,0.00305264902897754,16363.76953125,10.3716688096478,32030.4276315789,16028.0897247912
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art21.wav,0.00827536953120472,16129.39453125,10.3712381063157,32023.7068965517,16010.0427153997,0.00251066628183854,16244.384765625,10.3759808505023,32024.6305418719,16045.3192110811
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art22.wav,0.00818064022431235,16053.955078125,10.3188335524914,32042.4217462932,16032.471885636,0.00211816804691359,16367.431640625,10.413664185518,31992.3805601318,16077.3186761175
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art23.wav,0.00499378393590344,15936.03515625,10.2543900598549,32031.8908941756,16019.674313537,0.00713134888538609,15767.578125,10.3090367349154,32039.5816242822,16041.7547422073
C:\Users\Andrea\Desktop\TESIS\Diagnosticado_art\art24.wav,0.00852812460466877,16316.162109375,10.3313429995988,32034.3519278097,16023.2470342176,0.00320875761994611,15828.369140625,10.3671186453714,32041.4273995078,16000.1429641519
